17 	25	45	60	62	18
26	34	36	44	67	7
24	38	44	66	67	10
38	44	45	66	67	14
1	3	30	40	57	13
3	25	38	62	67	10
19	27	33	54	57	7
19	40	54	57	62	8
18	35	40	43	62	11
1	24	42	46	53	7
20	32	33	39	64	16
20	24	29	66	67	28
17	27	31	59	62	11
9	10	13	15	65	5
15	27	47	51	57	9
13	17	27	51	62	10
7	11	30	38	49	35
8	17	19	34	38	25
13	39	47	52	54	26
8	13	17	38	49	12
17	20	44	47	67	8
10	20	33	39	50	28
5	42	63	66	67	30
16	22	39	42	49	17
2	6	11	46	48	27
4	18	45	56	61	34
2	28	45	56	59	21
2	11	18	56	59	18
10	19	38	44	51	5
1	2	50	59	63	8
3	32	33	54	66	8
1	10	33	54	66	9
1	10	13	32	60	25
2	33	36	67	69	30
3	6	18	37	51	24
2	12	41	62	67	24
16	27	38	60	66	4
12	33	39	51	56	32
8	38	45	53	66	1
8	16	33	38	39	23
14	18	20	46	47	35
16	18	36	66	68	34
5	6	10	32	43	22
6	18	46	47	66	30
18	24	32	57	63	33
7	13	38	50	56	32
3	4	11	49	51	13
42	50	51	58	65	8
1	19	24	25	59	31
5	18	35	38	47	26
12	17	24	47	68	28
24	25	35	47	59	18
5	11	15	35	49	31
5	24	25	40	52	23
14	30	48	56	64	7
5	25	35	52	64	6
1	14	26	35	51	7
5	16	24	34	42	2
58	59	61	63	65	18
6	13	16	24	47	14
27	55	56	60	68	33
31	43	49	52	62	20
5	24	52	55	62	26
24	31	55	56	62	2
9	28	49	58	59	21
8	27	33	56	62	35
3	11	15	41	54	26
3	9	27	58	62	11
1	3	9	65	67	31
14	33	42	45	57	10
20	30	32	38	51	8
29	32	57	58	69	29
10	20	33	51	59	24
6	50	52	53	57	18
22	33	51	61	66	5
10	51	53	61	66	28
17	31	41	46	56	32
21	34	36	41	53	13
17	26	29	33	37	18
29	36	37	46	53	25
17	37	51	59	62	30
14	28	49	52	63	35
1	23	25	28	58	31
6	14	52	62	63	12
7	24	59	60	66	16
9	33	34	47	64	15
55	57	60	66	67	21
9	55	59	66	67	11
3	6	19	35	36	1
6	40	55	56	66	14
7	17	32	49	51	12
3	7	19	51	55	22
7	10	55	62	68	13
3	24	28	29	35	33
4	19	26	45	48	15
4	16	17	25	26	20
31	38	44	46	59	9
5	6	21	56	58	16
6	34	36	38	56	31
5	31	36	44	58	2
50	53	54	63	68	24
21	26	31	62	68	33
3	20	42	47	67	20
21	31	50	53	68	11
8	42	47	48	52	13
1	7	32	37	61	3
12	15	18	33	55	27
7	33	54	60	66	22
4	8	27	29	67	31
1	3	6	10	62	7
1	12	17	24	29	20
4	6	12	27	62	21
23	40	41	58	66	30
4	23	37	45	66	22
11	15	33	64	65	21
11	15	23	37	64	2
15	29	33	63	68	12
3	6	31	51	60	28
2	6	14	17	46	8
3	30	46	51	62	16
22	27	43	52	53	21
24	31	54	58	66	12
11	19	24	27	33	17
19	22	27	43	58	5
3	49	54	61	66	26
8	22	31	43	51	16
4	41	52	60	64	18
8	52	54	64	66	12
8	24	36	47	66	24
11	15	20	27	56	19
3	8	17	32	47	6
8	13	17	35	57	31
7	45	46	48	67	12
29	44	53	55	64	7
7	21	22	31	44	33
22	29	45	64	67	14
5	15	37	46	56	2
17	36	45	46	67	8
1	29	51	62	64	32
17	36	46	51	56	31
46	53	63	64	68	23
6	9	34	40	52	33
30	36	37	56	57	13
30	40	42	45	47	13
7	25	26	46	55	28
4	5	12	35	58	18
5	16	19	21	55	9
5	7	16	19	46	32
8	38	40	47	60	9
4	7	14	48	60	10
6	38	45	58	67	22
6	7	40	45	67	27
40	50	61	67	68	34
1	26	57	62	66	34
3	10	17	35	63	22
17	24	31	35	57	20
9	38	54	56	59	13
11	15	18	32	49	5
18	28	56	61	64	30
9	15	54	56	59	35
11	16	21	25	29	19
9	46	48	56	63	5
13	24	42	49	52	2
9	21	25	56	63	31
6	9	32	42	54	6
38	40	43	45	52	12
28	42	47	51	59	7
5	24	42	47	68	33
4	14	18	27	58	31
1	22	39	60	61	32
4	7	11	58	67	31
4	18	27	58	67	22
3	12	13	55	66	34
13	27	39	62	63	24
2	5	8	35	45	7
5	8	12	39	62	19
12	21	35	40	56	3
2	6	50	57	60	22
23	33	34	55	68	26
2	6	9	30	42	9
17	30	37	59	60	11
4	14	36	50	51	28
4	12	35	42	50	6
12	14	36	50	59	34
13	15	45	53	65	15
11	14	39	46	65	24
16	21	27	31	37	12
13	16	21	37	39	35
1	7	22	31	37	29
25	45	59	60	62	29
1	13	14	43	67	16
14	17	40	55	62	31
25	27	33	35	59	20
5	37	42	46	56	30
12	34	35	37	38	23
12	33	34	35	56	9
18	43	47	59	68	12
8	10	12	28	47	35
16	20	50	66	67	31
10	20	59	67	68	32
2	38	64	66	68	10
6	9	11	17	35	5
20	33	37	52	56	4
3	9	33	49	57	21
22	29	44	53	67	15
2	19	25	41	50	35
25	40	43	50	59	27
2	22	29	53	59	9
11	17	21	26	32	1
14	26	28	42	59	18
10	36	47	48	51	2
14	26	28	42	51	7
4	28	38	40	42	19
9	26	36	56	68	12
18	22	45	46	66	20
31	34	45	56	64	33
19	47	55	57	59	35
15	16	26	30	40	34
18	30	39	57	62	21
30	39	55	57	62	29
6	8	37	38	63	19
8	16	26	37	56	11
20	23	34	63	65	3
8	23	26	34	65	29
7	13	23	28	34	12
33	41	49	51	53	25
31	40	47	56	69	4
6	35	51	53	58	33
10	30	36	43	65	24
9	11	19	28	63	14
19	21	50	59	63	23
10	21	28	59	63	13
7	27	33	36	67	31
18	21	27	40	51	24
17	20	38	46	55	3
20	38	40	46	51	11
17	38	48	64	69	22
24	26	27	44	49	5
13	36	37	46	55	4
24	47	49	52	63	33
3	21	43	45	69	14
2	9	12	60	62	2
3	33	42	46	69	22
2	12	46	60	62	29
12	18	36	45	58	16
18	44	58	60	67	7
9	15	25	38	68	13
15	18	36	45	67	14
18	32	51	58	67	8
20	33	61	62	69	30
4	16	22	31	49	29
9	16	48	57	61	31
18	39	56	58	59	14
4	10	21	40	47	27
21	25	48	59	64	29
4	10	40	48	58	20
8	11	16	23	42	29
16	19	25	40	57	33
4	7	14	55	66	22
11	19	40	42	55	30
3	40	42	49	69	6
1	46	54	59	67	15
12	30	31	34	43	23
31	34	38	50	67	3
5	6	13	47	68	32
10	24	41	44	58	19
5	25	46	58	66	31
10	13	44	66	68	4
28	34	50	53	54	5
34	44	53	56	61	24
16	36	48	55	65	15
44	48	53	54	56	26
14	21	29	55	65	33
2	28	31	36	48	18
12	13	25	54	65	29
1	2	24	28	34	35
5	19	44	58	66	7
6	22	50	61	69	21
39	45	50	54	69	20
6	45	50	66	69	28
6	18	58	63	65	35
9	30	43	45	58	27
22	44	55	59	66	18
18	22	45	58	65	12
18	22	45	65	58	12
6	17	23	49	66	24
7	51	58	60	64	21
8	35	51	56	66	21
11	26	28	51	60	18
9	36	44	59	62	10
20	36	40	42	60	32
26	28	44	59	60	33
2	27	39	48	69	11
22	28	48	57	61	18
5	12	24	29	53	17
5	24	53	57	61	3
7	14	24	29	60	2
15	31	38	52	56	10
14	23	24	34	66	5
31	36	38	57	66	4
43	48	49	56	69	7
13	15	16	33	64	35
13	30	32	50	64	33
13	15	16	32	64	20
19	27	46	49	63	34
15	28	49	51	65	8
17	31	35	48	56	12
17	28	46	63	65	5
21	28	43	60	63	26
7	15	18	31	34	19
4	33	40	45	54	5
13	18	33	43	50	2
27	42	51	62	66	23
1	9	21	25	36	3
22	23	25	37	42	19
9	22	25	37	66	7
29	35	48	59	66	27
9	20	29	49	57	5
13	15	24	36	56	17
20	24	29	35	59	11
13	19	29	57	64	34
14	38	46	55	67	8
5	6	28	54	56	24
4	26	46	65	67	14
10	20	27	66	69	29
25	31	47	51	63	1
7	10	23	54	66	32
27	47	51	63	66	9
3	33	34	53	62	18
11	13	16	27	63	2
22	52	54	59	67	35
13	27	52	59	62	32
7	29	54	59	60	4
8	19	20	41	58	18
3	11	15	19	40	9
8	10	19	27	58	6
33	53	63	65	69	1
5	24	32	48	60	28
31	39	48	61	69	18
5	31	39	60	63	5
43	57	61	67	68	30
29	39	56	58	68	22
1	3	10	26	52	7
1	26	56	57	61	28
4	26	54	56	66	15
6	16	21	47	62	33
9	19	29	34	48	35
6	22	43	48	63	20
24	25	37	50	68	2
1	52	55	56	69	13
17	25	26	37	43	20
1	17	24	52	69	14
9	50	54	57	59	28
1	23	24	34	63	15
6	22	62	64	68	3
1	24	50	59	62	22
6	9	19	20	62	28
8	17	30	41	67	4
12	18	26	46	53	23
8	26	31	33	57	27
12	15	49	56	66	29
3	7	22	53	67	30
12	44	54	56	58	35
15	22	54	56	67	20
13	21	37	46	48	21
2	17	21	42	48	7
12	23	30	32	58	31
23	30	32	42	58	4
13	23	35	42	55	6
19	43	57	59	65	2
21	28	36	43	57	25
8	28	36	68	69	1
10	22	42	50	54	17
3	53	55	59	60	19
23	53	55	61	67	17
3	23	42	61	67	33
2	4	19	46	61	22
3	10	42	61	63	9
5	6	15	21	41	23
10	19	42	61	63	25
35	40	52	61	63	35
12	16	30	47	51	31
21	26	44	50	69	10
4	11	25	47	50	32
1	18	20	34	46	6
14	29	53	58	64	7
19	23	34	60	64	13
18	29	53	60	64	25
5	6	21	32	48	33
31	39	52	53	60	14
11	18	42	46	59	1
32	39	42	46	60	20
11	12	41	46	48	32
2	18	47	61	64	14
22	23	27	29	39	35
4	27	30	34	64	17
39	48	50	61	68	7
6	10	24	41	69	13
6	37	50	58	60	3
37	41	48	50	68	34
5	23	42	43	64	9
2	5	15	29	50	21
33	34	48	51	59	26
2	5	34	43	59	13
3	43	51	62	65	1
22	32	41	53	61	9
6	12	28	33	52	34
8	18	22	41	46	14
21	25	50	55	62	5
3	15	19	58	65	35
1	3	29	55	56	27
1	19	25	50	62	3
2	48	53	57	59	10
2	50	52	53	56	22
4	20	29	42	67	26
2	20	52	53	57	30
2	13	14	29	58	22
5	40	54	59	69	21
7	18	48	49	58	25
20	42	46	54	58	17
3	14	15	31	57	28
41	44	53	61	63	29
7	44	53	57	65	11
7	14	15	31	44	35
13	24	26	50	68	34
23	31	45	50	54	16
3	5	37	38	61	27
5	23	24	61	68	8
7	24	35	36	61	31
13	16	18	22	66	2
19	42	50	52	59	21
4	13	16	28	45	13
5	8	19	36	48	31
3	15	40	60	64	21
19	30	46	60	69	32
3	40	48	60	64	11
12	16	50	57	67	17
25	35	36	40	57	1
13	31	38	43	44	33
12	40	43	44	67	20
7	13	16	43	58	2
4	24	34	59	68	34
4	18	20	30	58	10
4	19	21	36	68	14
1	3	27	47	49	26
2	24	37	64	66	8
25	27	38	49	53	11
2	38	49	53	66	17
32	43	57	66	68	14
22	27	32	43	64	28
